# ----------------------------------------
# chohama-main
# 週報PPDCA用-1week-自由形式 1
# 20260912-20260919
# ----------------------------------------

,,セグメント,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,合計,合計,合計,合計,合計
ページ タイトル,ランディング ページ,セッションの参照元 / メディア,セッション,アクティブ ユーザー,エンゲージメント率,セッションあたりの平均エンゲージメント時間,キーイベント,セッション,アクティブ ユーザー,エンゲージメント率,セッションあたりの平均エンゲージメント時間,キーイベント
,,,473,395,0.3023255813953488,12.676532769556026,0,473,395,0.3023255813953488,12.676532769556026,0,総計
新居弁天海釣公園ライブカメラ｜浜名湖の海況を釣行前にリアルタイム確認 | 釣！浜名湖,/blog/araibenten-live-camera,google / organic,38,32,0.39473684210526316,14.81578947368421,0,38,32,0.39473684210526316,14.81578947368421,0
浜名湖カワハギ攻略！エサ取り名人との知恵比べを楽しむ特集 | 釣！浜名湖,/blog/kawahagi,google / organic,1,1,0,0,0,1,1,0,0,0
浜名湖ガーデンパーク｜広大なシャローが広がるウェーディング・サーフの聖地 | 釣！浜名湖,/blog/guide/method/night-float-fishing,yahoo / organic,1,1,1,0,0,1,1,1,0,0
浜名湖ガーデンパーク｜広大なシャローが広がるウェーディング・サーフの聖地 | 釣！浜名湖,/points/pokochan-coast,yahoo / organic,1,1,1,7,0,1,1,1,7,0
浜名湖ガーデンパーク｜広大なシャローが広がるウェーディング・サーフの聖地 | 釣！浜名湖,/points/wading-points,google / organic,1,1,1,45,0,1,1,1,45,0
浜名湖キス釣りの教科書｜投点・引き速度・潮流対策の全法則 | 釣！浜名湖,/blog/kurodai,google / organic,1,1,1,0,0,1,1,1,0,0
浜名湖キビレ釣りの教科書｜電気ウキのタナ・釣れない原因・タックルの全法則 | 釣！浜名湖,/points/arai-nakanogo,(direct) / (none),1,1,1,0,0,1,1,1,0,0
浜名湖クロダイ攻略完全ガイド！釣れる時期・ポイント・釣り方を徹底解説 | 釣！浜名湖,/blog/hamanako-complete-tackle-guide,google / organic,1,1,1,0,0,1,1,1,0,0
浜名湖クロダイ攻略完全ガイド！釣れる時期・ポイント・釣り方を徹底解説 | 釣！浜名湖,/blog/kurodai,(direct) / (none),1,1,0,0,0,1,1,0,0,0
浜名湖クロダイ攻略完全ガイド！釣れる時期・ポイント・釣り方を徹底解説 | 釣！浜名湖,/blog/kurodai,google / organic,2,1,0.5,0,0,2,1,0.5,0,0
浜名湖クロダイ釣りの教科書｜釣法・タックル・時合の全法則 | 釣！浜名湖,/blog/kurodai,yahoo / organic,1,1,0,0,0,1,1,0,0,0
浜名湖クロダイ釣りの教科書｜釣法・タックル・時合の全法則 | 釣！浜名湖,/blog/night-fishing,yahoo / organic,1,1,1,0,0,1,1,1,0,0
浜名湖クロダイ釣りの教科書｜釣法・タックル・時合の全法則 | 釣！浜名湖,/map,bing / organic,1,1,1,0,0,1,1,1,0,0
浜名湖サビキ釣り攻略｜トリックサビキ vs カゴサビキ徹底比較 | 釣！浜名湖,/blog/kurodai,google / organic,1,1,1,0,0,1,1,1,0,0
浜名湖サビキ釣り攻略｜トリックサビキ vs カゴサビキ徹底比較 | 釣！浜名湖,/blog/sabiki-set-comparison,google / organic,1,1,0,0,0,1,1,0,0,0
浜名湖サヨリ完全攻略！秋の数釣りから冬の「サンマ級」大型を狙う釣り特集 | 釣！浜名湖,/blog/9-month,yahoo / organic,1,1,1,0,0,1,1,1,0,0
浜名湖サヨリ攻略の決定版「浦安釣法」｜遠投と引き釣りで爆釣する仕掛け術 | 釣！浜名湖,/blog/sayori,google / organic,1,1,1,0,0,1,1,1,0,0
浜名湖サヨリ攻略の決定版「浦安釣法」｜遠投と引き釣りで爆釣する仕掛け術 | 釣！浜名湖,/blog/urayasu-choho,bing / organic,1,1,0,0,0,1,1,0,0,0
浜名湖サヨリ釣りの教科書｜群れの読み方と浦掛け・ウキカゴの全法則 | 釣！浜名湖,/blog/sayori,yahoo / organic,1,1,0,0,0,1,1,0,0,0
浜名湖タコ釣り完全攻略【2026年版】時期・ポイント・仕掛けを徹底解説 | 釣！浜名湖,/blog/tako-kanzen-guide,bing / organic,1,1,0,0,0,1,1,0,0,0
浜名湖チニング完全解説～クロダイ・キビレを「トップ」と「ボトム」で仕留める最新メソッド～ | 釣！浜名湖,/points/chining-fukabori,bing / organic,1,1,0,0,0,1,1,0,0,0
浜名湖チヌトップ攻略｜7月の爆釣おすすめルアー5選と釣り方のコツ | 釣！浜名湖,/blog/chinu-nokkomi-bait,bing / organic,1,1,1,0,0,1,1,1,0,0
浜名湖チヌトップ攻略｜7月の爆釣おすすめルアー5選と釣り方のコツ | 釣！浜名湖,/blog/chinutop-july,(direct) / (none),1,1,0,0,0,1,1,0,0,0
浜名湖チヌトップ攻略｜7月の爆釣おすすめルアー5選と釣り方のコツ | 釣！浜名湖,/blog/chinutop-july,bing / organic,2,1,0.5,0,0,2,1,0.5,0,0
浜名湖チヌトップ攻略｜7月の爆釣おすすめルアー5選と釣り方のコツ | 釣！浜名湖,/blog/chinutop-july,service.smt.docomo.ne.jp / referral,1,1,0,0,0,1,1,0,0,0
浜名湖チヌトップ攻略｜7月の爆釣おすすめルアー5選と釣り方のコツ | 釣！浜名湖,/points/nagisaen,bing / organic,1,1,1,0,0,1,1,1,0,0
浜名湖チヌトップ攻略｜7月の爆釣おすすめルアー5選と釣り方のコツ | 釣！浜名湖,/points/nagisaen,google / organic,1,1,1,0,0,1,1,1,0,0
浜名湖ハゼ釣りの教科書｜ハゼクランク・落ちハゼ・釣れない原因の全法則 | 釣！浜名湖,/blog/haze,yahoo / organic,1,1,1,0,0,1,1,1,0,0
浜名湖ハゼ釣りポイント厳選！聖地から穴場まで徹底解説 | 釣！浜名湖,/blog/haze-points,chatgpt.com / ai-assistant,1,1,1,0,0,1,1,1,0,0
浜名湖ハゼ釣りポイント厳選！聖地から穴場まで徹底解説 | 釣！浜名湖,/blog/haze-points,openai / organic,1,1,1,60,0,1,1,1,60,0
浜名湖ハゼ釣りポイント厳選！聖地から穴場まで徹底解説 | 釣！浜名湖,/points/haze-fukabori,bing / organic,1,1,1,0,0,1,1,1,0,0
浜名湖ハゼ釣りポイント厳選！聖地から穴場まで徹底解説 | 釣！浜名湖,/points/shinkawa-kakou,bing / organic,1,1,1,0,0,1,1,1,0,0
浜名湖ハゼ釣り完全攻略ガイド｜聖地・都田川から落ちハゼの名所まで徹底解剖 | 釣！浜名湖,/blog/guide/theory/imagiri-current-logic,google / organic,1,1,1,0,0,1,1,1,0,0
浜名湖ハゼ釣り完全攻略ガイド｜聖地・都田川から落ちハゼの名所まで徹底解剖 | 釣！浜名湖,/blog/haze-points,bing / organic,1,1,1,0,0,1,1,1,0,0
浜名湖ハゼ釣り完全攻略ガイド｜聖地・都田川から落ちハゼの名所まで徹底解剖 | 釣！浜名湖,/points/haze-fukabori,bing / organic,3,1,0.3333333333333333,0,0,3,1,0.3333333333333333,0,0
浜名湖ハゼ釣り完全攻略ガイド｜聖地・都田川から落ちハゼの名所まで徹底解剖 | 釣！浜名湖,/points/miyakodagawa,google / organic,1,1,1,330,0,1,1,1,330,0
浜名湖パークビレッジ周辺～表浜名湖の釣りポイント紹介～ | 釣！浜名湖,/points/chining-fukabori,google / organic,1,1,1,0,0,1,1,1,0,0
浜名湖パークビレッジ周辺～表浜名湖の釣りポイント紹介～ | 釣！浜名湖,/points/parkvillege,bing / organic,1,1,1,0,0,1,1,1,0,0
浜名湖パークビレッジ周辺～表浜名湖の釣りポイント紹介～ | 釣！浜名湖,/points/wading-points,google / organic,1,1,1,0,0,1,1,1,0,0
浜名湖ヒラメ・マゴチ釣りの教科書｜季節で棲み分ける2種の攻略全法則 | 釣！浜名湖,/blog/9-month,yahoo / organic,1,1,1,0,0,1,1,1,0,0
浜名湖ヒラメ・マゴチ釣りの教科書｜季節で棲み分ける2種の攻略全法則 | 釣！浜名湖,/blog/flatfish,google / organic,3,1,0,0,0,3,1,0,0,0
浜名湖マゴチ攻略：ボトムワインドの威力と推奨ギア。砂地のハンターを狂わせる操作術 | 釣！浜名湖,/points/parkvillege,bing / organic,1,1,1,0,0,1,1,1,0,0
浜名湖メジナ釣りの教科書｜堤防で磯魚を狙う特殊性とサイズアップの全法則 | 釣！浜名湖,/blog/mejina,(direct) / (none),1,1,0,0,0,1,1,0,0,0
浜名湖レンタルボート5選｜免許不要プランの料金・予約・安全ルールまとめ | 釣！浜名湖,/blog/rental-boat-guide,chatgpt.com / ai-assistant,1,1,0,0,0,1,1,0,0,0
浜名湖レンタルボート5選｜免許不要プランの料金・予約・安全ルールまとめ | 釣！浜名湖,/blog/rental-boat-guide,yahoo / organic,1,1,0,0,0,1,1,0,0,0
浜名湖レークサイドウェイ周辺（猪鼻湖）の釣りポイント完全解説｜絶景と「投げ釣り」の融合地 | 釣！浜名湖,/map,bing / organic,1,1,1,0,0,1,1,1,0,0
浜名湖・水温の黄金律：エリア別の温度差と「季節の逆転現象」の法則 | 釣！浜名湖,/blog/water-temperature-logic,bing / organic,1,1,0,0,0,1,1,0,0,0
浜名湖流・フカセ釣りの極意：二枚潮を制して乗っ込み巨チヌを仕留める | 釣！浜名湖,/blog/fukase-nimaishio-logic,yahoo / organic,1,1,0,0,0,1,1,0,0,0
浜名湖釣りガイド｜ポイント・水深図・ライブカメラ | 釣！浜名湖,/,bing / organic,1,1,1,0,0,1,1,1,0,0
浜名湖釣りガイド｜ポイント・水深図・ライブカメラ | 釣！浜名湖,/,google / organic,1,1,1,0,0,1,1,1,0,0
浜名湖釣りガイド｜ポイント・水深図・ライブカメラ | 釣！浜名湖,/blog/guide/method/night-float-fishing,yahoo / organic,1,1,1,0,0,1,1,1,0,0
浜名湖釣りガイド｜ポイント・水深図・ライブカメラ | 釣！浜名湖,/blog/guide/theory/imagiri-current-logic,google / organic,1,1,1,0,0,1,1,1,0,0
浜名湖釣りガイド｜ポイント・水深図・ライブカメラ | 釣！浜名湖,/blog/haze-beginner,(direct) / (none),1,1,1,0,0,1,1,1,0,0
浜名湖釣りガイド｜ポイント・水深図・ライブカメラ | 釣！浜名湖,/blog/kurodai,google / organic,1,1,1,0,0,1,1,1,0,0
浜名湖釣りガイド｜ポイント・水深図・ライブカメラ | 釣！浜名湖,/blog/kurodai-cooking,bing / organic,1,1,1,0,0,1,1,1,0,0
浜名湖釣りガイド｜ポイント・水深図・ライブカメラ | 釣！浜名湖,/points/arai-nakanogo,(direct) / (none),1,1,1,0,0,1,1,1,0,0
浜名湖釣りポイントマップ｜エリア別水深図・ポイント検索 | 釣！浜名湖,/,bing / organic,1,1,1,0,0,1,1,1,0,0
浜名湖釣りポイントマップ｜エリア別水深図・ポイント検索 | 釣！浜名湖,/,google / organic,1,1,1,0,0,1,1,1,0,0
浜名湖釣りポイントマップ｜エリア別水深図・ポイント検索 | 釣！浜名湖,/blog/haze-beginner,(direct) / (none),1,1,1,0,0,1,1,1,0,0
浜名湖釣りポイントマップ｜エリア別水深図・ポイント検索 | 釣！浜名湖,/blog/kurodai,google / organic,1,1,1,0,0,1,1,1,0,0
浜名湖釣りポイントマップ｜エリア別水深図・ポイント検索 | 釣！浜名湖,/map,(direct) / (none),1,1,1,0,0,1,1,1,0,0
浜名湖釣りポイントマップ｜エリア別水深図・ポイント検索 | 釣！浜名湖,/points/boatrace-hamanako,google / organic,1,1,1,0,0,1,1,1,0,0
浜名湖釣りポイントマップ｜エリア別水深図・ポイント検索 | 釣！浜名湖,/points/boatrace-hamanako,yahoo / organic,1,1,1,0,0,1,1,1,0,0
浜名湖釣りポイントマップ｜エリア別水深図・ポイント検索 | 釣！浜名湖,/points/chining-fukabori,google / organic,1,1,1,315,0,1,1,1,315,0
浜名湖釣りポイントマップ｜エリア別水深図・ポイント検索 | 釣！浜名湖,/points/photonics-under,google / organic,1,1,1,0,0,1,1,1,0,0
浜名湖釣りポイントマップ｜エリア別水深図・ポイント検索 | 釣！浜名湖,/points/pokochan-coast,yahoo / organic,1,1,1,0,0,1,1,1,0,0
渚園（表浜名湖）の釣りポイント完全解説｜キャンプと「チヌトップ」の聖地を遊び尽くす | 釣！浜名湖,/points/nagisaen,service.smt.docomo.ne.jp / referral,1,1,1,0,0,1,1,1,0,0
渚園（表浜名湖）の釣りポイント完全解説｜キャンプと「チヌトップ」の聖地を遊び尽くす | 釣！浜名湖,/points/nagisaen,yahoo / organic,1,1,0,0,0,1,1,0,0,0
瀬戸水道（せとすいどう）｜攻略難易度SS級！奥浜名湖の「激流」を制しシーバスとカレイを仕留める | 釣！浜名湖,/blog/9-month,yahoo / organic,1,1,1,0,0,1,1,1,0,0
瀬戸水道（せとすいどう）｜攻略難易度SS級！奥浜名湖の「激流」を制しシーバスとカレイを仕留める | 釣！浜名湖,/map,bing / organic,1,1,1,0,0,1,1,1,0,0
瀬戸水道（せとすいどう）｜攻略難易度SS級！奥浜名湖の「激流」を制しシーバスとカレイを仕留める | 釣！浜名湖,/points/setosuidou,bing / organic,1,1,1,0,0,1,1,1,0,0
瀬戸水道（せとすいどう）｜攻略難易度SS級！奥浜名湖の「激流」を制しシーバスとカレイを仕留める | 釣！浜名湖,/points/wading-points,google / organic,1,1,1,20,0,1,1,1,20,0
砂揚げ場（新居漁港）～車横付けOK！浜名湖No.1のファミリーポイント～ | 釣！浜名湖,/blog/guide/beginner/family-car-fishing-points,google / organic,1,1,1,0,0,1,1,1,0,0
砂揚げ場（新居漁港）～車横付けOK！浜名湖No.1のファミリーポイント～ | 釣！浜名湖,/blog/guide/method/night-float-fishing,yahoo / organic,1,1,1,0,0,1,1,1,0,0
砂揚げ場（新居漁港）～車横付けOK！浜名湖No.1のファミリーポイント～ | 釣！浜名湖,/points/sunaageba,yahoo / organic,1,1,0,0,0,1,1,0,0,0
秋の浜名湖釣りメシ｜ハゼ天ぷら・カワハギ刺身・アジのなめろうレシピ | 釣！浜名湖,/blog/cooking/autumn-hamanako-recipe,bing / organic,1,1,0,0,0,1,1,0,0,0
舘山寺（内浦湾）｜観光と釣りの黄金比！ファミリー＆ナイトゲームの聖地 | 釣！浜名湖,/points/photonics-under,(direct) / (none),1,1,1,0,0,1,1,1,0,0
舘山寺（内浦湾）｜観光と釣りの黄金比！ファミリー＆ナイトゲームの聖地 | 釣！浜名湖,/points/photonics-under,google / organic,1,1,1,0,0,1,1,1,0,0
都田川河口（みやこだがわ）｜浜名湖NO.1のハゼ釣りの聖地！汽水域の王者・ハゼとシーバスを完全攻略 | 釣！浜名湖,/blog/9-month,google / organic,1,1,1,201,0,1,1,1,201,0
都田川河口（みやこだがわ）｜浜名湖NO.1のハゼ釣りの聖地！汽水域の王者・ハゼとシーバスを完全攻略 | 釣！浜名湖,/blog/hazekura-intro,yahoo / organic,1,1,1,0,0,1,1,1,0,0
都田川河口（みやこだがわ）｜浜名湖NO.1のハゼ釣りの聖地！汽水域の王者・ハゼとシーバスを完全攻略 | 釣！浜名湖,/map,(direct) / (none),1,1,1,0,0,1,1,1,0,0
都田川河口（みやこだがわ）｜浜名湖NO.1のハゼ釣りの聖地！汽水域の王者・ハゼとシーバスを完全攻略 | 釣！浜名湖,/points/miyakodagawa,yahoo / organic,1,1,0,0,0,1,1,0,0,0
都田川河口（みやこだがわ）｜浜名湖NO.1のハゼ釣りの聖地！汽水域の王者・ハゼとシーバスを完全攻略 | 釣！浜名湖,/points/photonics-under,google / organic,1,1,1,0,0,1,1,1,0,0
都田川河口（みやこだがわ）｜浜名湖NO.1のハゼ釣りの聖地！汽水域の王者・ハゼとシーバスを完全攻略 | 釣！浜名湖,/points/wading-points,google / organic,1,1,1,0,0,1,1,1,0,0
釣り場ポイント | 釣！浜名湖,/points,google / organic,1,1,1,0,0,1,1,1,0,0
釣り場ポイント | 釣！浜名湖,/points/family-car-points,google / organic,1,1,1,0,0,1,1,1,0,0
釣れる魚・ターゲット解説 | 釣！浜名湖,/map,yahoo / organic,1,1,1,0,0,1,1,1,0,0
釣れる魚・ターゲット解説 | 釣！浜名湖,/points/pokochan-coast,yahoo / organic,1,1,1,0,0,1,1,1,0,0
雄踏町山崎（ゆうとうちょうやまざき）｜雄踏総合公園エリアで車横付けOK！中浜名湖の投げ釣り聖地 | 釣！浜名湖,/blog/guide/method/night-float-fishing,yahoo / organic,1,1,1,0,0,1,1,1,0,0
雄踏町山崎（ゆうとうちょうやまざき）｜雄踏総合公園エリアで車横付けOK！中浜名湖の投げ釣り聖地 | 釣！浜名湖,/map,google / organic,1,1,1,0,0,1,1,1,0,0
雄踏町山崎（ゆうとうちょうやまざき）｜雄踏総合公園エリアで車横付けOK！中浜名湖の投げ釣り聖地 | 釣！浜名湖,/points/pokochan-coast,yahoo / organic,1,1,1,4,0,1,1,1,4,0
雄踏町山崎（ゆうとうちょうやまざき）｜雄踏総合公園エリアで車横付けOK！中浜名湖の投げ釣り聖地 | 釣！浜名湖,/points/yuto-yamazaki,google / organic,1,1,1,0,0,1,1,1,0,0
雨でも行ける浜名湖の釣り場5選｜落雷・増水リスクを避けて安全に楽しむ | 釣！浜名湖,/blog/guide/beginner/hamanako-rainy-day-fishing,yahoo / organic,1,1,1,0,0,1,1,1,0,0
鷲津港・鷲津湾（わしづこう・わしづわん）｜ボートアングラーの聖地・テクニカルな中浜名湖の難攻不落ポイント | 釣！浜名湖,/blog/haze-points,openai / organic,1,1,1,0,0,1,1,1,0,0
【クロダイ入門】初心者でも釣れる！浜名湖の簡単エサ釣りガイド | 釣！浜名湖,/blog/kurodai-beginner,google / organic,1,0,0,0,0,1,0,0,0,0
【浜名湖攻略】激流・今切口を制覇する｜舞阪と新居の潮流と『ヨレ』の攻略理論 | 釣！浜名湖,/blog/guide/theory/imagiri-current-logic,bing / organic,1,0,0,0,0,1,0,0,0,0
【浜名湖発祥】伝統の弁天流し釣り完全ガイド｜激流を攻略する秘策 | 釣！浜名湖,/blog/benten-nagashi-fishing,yahoo / organic,1,0,0,0,0,1,0,0,0,0
伊奈（いな）の釣りポイント解説｜急深なブレイクに潜む「奥浜名湖のモンスター」を狙い撃つ穴場 | 釣！浜名湖,/points/ina,google / organic,1,0,0,0,0,1,0,0,0,0
浜名湖でカレイング！ルアーで狙う冬のターゲット攻略術 | 釣！浜名湖,/blog/kareing,yahoo / organic,1,0,0,0,0,1,0,0,0,0
浜名湖のアオリイカ攻略！秋のエギング入門とおすすめポイント | 釣！浜名湖,/blog/aori-guide,chatgpt.com / ai-assistant,1,0,0,0,0,1,0,0,0,0
浜名湖のキス釣りポイント5選！初心者からベテランまで数釣りが楽しめる時期とコツ | 釣！浜名湖,/blog/points-top5,yahoo / organic,1,0,0,0,0,1,0,0,0,0
浜名湖マゴチ攻略：ボトムワインドの威力と推奨ギア。砂地のハンターを狂わせる操作術 | 釣！浜名湖,/blog/magochi-bottom-wind,bing / organic,1,0,0,0,0,1,0,0,0,0
浜名湖マゴチ攻略：ボトムワインドの威力と推奨ギア。砂地のハンターを狂わせる操作術 | 釣！浜名湖,/blog/magochi-bottom-wind,google / organic,1,0,0,0,0,1,0,0,0,0

