# ----------------------------------------
# chohama-main
# 週報PPDCA用-1week-自由形式 1
# 20260704-20260711
# ----------------------------------------

,,セグメント,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,合計,合計,合計,合計,合計
ページ タイトル,ランディング ページ,セッションの参照元 / メディア,セッション,アクティブ ユーザー,エンゲージメント率,セッションあたりの平均エンゲージメント時間,キーイベント,セッション,アクティブ ユーザー,エンゲージメント率,セッションあたりの平均エンゲージメント時間,キーイベント
,,,445,354,0.25617977528089886,8.262921348314606,0,445,354,0.25617977528089886,8.262921348314606,0,総計
浜名湖の釣り禁止エリア・漁業権・マナーまとめ｜知って安心の基礎ルール解説 | 釣！浜名湖,/blog/guide/beginner/hamanako-fishing-rules-and-manners,google / organic,38,36,0.15789473684210525,3.6578947368421053,0,38,36,0.15789473684210525,3.6578947368421053,0
浜名湖マダコ完全攻略ガイド｜夏の新ダコ爆釣から大型狙いの「底剥がし」テクニックまで | 釣！浜名湖,/blog/tako-points,google / organic,1,1,1,0,0,1,1,1,0,0
浜名湖メジナ（寒グレ）完全攻略｜激流の中の「コマセワーク」と「同調」の真髄 | 釣！浜名湖,/blog/mejina-points,bing / organic,1,1,1,0,0,1,1,1,0,0
浜名湖メバル・カサゴ攻略！冬〜春の癒やし系ターゲット「根魚」特集 | 釣！浜名湖,/blog/mebaru-kasago,google / organic,1,1,0,0,0,1,1,0,0,0
浜名湖レークサイドウェイ周辺（猪鼻湖）の釣りポイント完全解説｜絶景と「投げ釣り」の融合地 | 釣！浜名湖,/points/drive-fishing-spots,google / organic,1,1,1,6,0,1,1,1,6,0
浜名湖レークサイドウェイ周辺（猪鼻湖）の釣りポイント完全解説｜絶景と「投げ釣り」の融合地 | 釣！浜名湖,/points/lakesideway,bing / organic,1,1,0,0,0,1,1,0,0,0
浜名湖・車横付け釣り場6選｜駐車場・トイレ完備で子連れ安心のファミリーポイント | 釣！浜名湖,/points/drive-fishing-spots,yahoo / organic,1,1,1,0,0,1,1,1,0,0
浜名湖・車横付け釣り場6選｜駐車場・トイレ完備で子連れ安心のファミリーポイント | 釣！浜名湖,/points/family-car-points,openai / organic,2,1,0.5,0,0,2,1,0.5,0,0
浜名湖釣りガイド｜ポイント・水深図・ライブカメラ | 釣！浜名湖,/,service.smt.docomo.ne.jp / referral,1,1,1,0,0,1,1,1,0,0
浜名湖釣りガイド｜ポイント・水深図・ライブカメラ | 釣！浜名湖,/map,(direct) / (none),1,1,1,0,0,1,1,1,0,0
浜名湖釣りガイド｜ポイント・水深図・ライブカメラ | 釣！浜名湖,/points/tsuzusaki,google / organic,1,1,1,0,0,1,1,1,0,0
浜名湖釣りポイントマップ | 釣！浜名湖,/,(direct) / (none),1,1,1,0,0,1,1,1,0,0
浜名湖釣りポイントマップ | 釣！浜名湖,/,openai / organic,1,1,1,0,0,1,1,1,0,0
浜名湖釣りポイントマップ | 釣！浜名湖,/,service.smt.docomo.ne.jp / referral,1,1,1,0,0,1,1,1,0,0
浜名湖釣りポイントマップ | 釣！浜名湖,/blog/guide/beginner/hamanako-fishing-rules-and-manners,google / organic,1,1,1,0,0,1,1,1,0,0
浜名湖釣りポイントマップ | 釣！浜名湖,/blog/hamanako-kayak-fishing,google / organic,1,1,1,0,0,1,1,1,0,0
浜名湖釣りポイントマップ | 釣！浜名湖,/map,(direct) / (none),1,1,1,0,0,1,1,1,0,0
浜名湖釣りポイントマップ | 釣！浜名湖,/points/tsuzusaki,google / organic,1,1,1,0,0,1,1,1,0,0
浜名湖釣りポイントマップ｜エリア別水深図・ポイント検索 | 釣！浜名湖,/map,(direct) / (none),2,1,1,0,0,2,1,1,0,0
浜名湖釣りポイントマップ｜エリア別水深図・ポイント検索 | 釣！浜名湖,/map,yahoo / organic,1,1,0,0,0,1,1,0,0,0
浜名湖釣りポイントマップ｜エリア別水深図・ポイント検索 | 釣！浜名湖,/points/chining-fukabori,bing / organic,1,1,1,0,0,1,1,1,0,0
浜名湖釣りポイントマップ｜エリア別水深図・ポイント検索 | 釣！浜名湖,/points/drive-fishing-spots,openai / (not set),1,1,1,0,0,1,1,1,0,0
浜名湖釣りポイントマップ｜エリア別水深図・ポイント検索 | 釣！浜名湖,/points/haze-fukabori,yahoo / organic,1,1,1,0,0,1,1,1,0,0
渚園（表浜名湖）の釣りポイント完全解説｜キャンプと「チヌトップ」の聖地を遊び尽くす | 釣！浜名湖,/blog/guide/beginner/hamanako-fishing-rules-and-manners,yahoo / organic,1,1,1,0,0,1,1,1,0,0
渚園（表浜名湖）の釣りポイント完全解説｜キャンプと「チヌトップ」の聖地を遊び尽くす | 釣！浜名湖,/map,yahoo / organic,1,1,1,0,0,1,1,1,0,0
渚園（表浜名湖）の釣りポイント完全解説｜キャンプと「チヌトップ」の聖地を遊び尽くす | 釣！浜名湖,/points/chining-fukabori,bing / organic,1,1,1,0,0,1,1,1,0,0
湖南高校周辺（新川河口）｜中浜名湖の汽水域が育むチヌとハゼの穴場！ | 釣！浜名湖,/map,google / organic,1,1,1,0,0,1,1,1,0,0
湖南高校周辺（新川河口）｜中浜名湖の汽水域が育むチヌとハゼの穴場！ | 釣！浜名湖,/points/konankoukou,google / organic,1,1,0,0,0,1,1,0,0,0
瀬戸水道（せとすいどう）｜攻略難易度SS級！奥浜名湖の「激流」を制しシーバスとカレイを仕留める | 釣！浜名湖,/points/sakujyoseki,google / organic,1,1,1,0,0,1,1,1,0,0
砂揚げ場（新居漁港）～車横付けOK！浜名湖No.1のファミリーポイント～ | 釣！浜名湖,/blog/ajing-guide,bing / organic,1,1,1,0,0,1,1,1,0,0
砂揚げ場（新居漁港）～車横付けOK！浜名湖No.1のファミリーポイント～ | 釣！浜名湖,/blog/mebaru-kasago-beginner,google / organic,1,1,1,0,0,1,1,1,0,0
砂揚げ場（新居漁港）～車横付けOK！浜名湖No.1のファミリーポイント～ | 釣！浜名湖,/points/ajing-fukabori,yahoo / organic,1,1,1,0,0,1,1,1,0,0
砂揚げ場（新居漁港）～車横付けOK！浜名湖No.1のファミリーポイント～ | 釣！浜名湖,/points/family-car-points,openai / organic,1,1,1,0,0,1,1,1,0,0
砂揚げ場（新居漁港）～車横付けOK！浜名湖No.1のファミリーポイント～ | 釣！浜名湖,/points/sunaageba,(direct) / (none),1,1,0,0,0,1,1,0,0,0
砂揚げ場（新居漁港）～車横付けOK！浜名湖No.1のファミリーポイント～ | 釣！浜名湖,/points/sunaageba,openai / (not set),1,1,1,175,0,1,1,1,175,0
網干場（舞阪港）の釣り完全ガイド｜クロダイ・アジ・タコが通年狙える浜名湖の人気ポイント | 釣！浜名湖,/points/amihosiba,yahoo / organic,1,1,0,0,0,1,1,0,0,0
網干場（舞阪港）～表浜名湖の釣りポイント紹介～ | 釣！浜名湖,(not set),yahoo / organic,1,1,0,0,0,1,1,0,0,0
網干場（舞阪港）～表浜名湖の釣りポイント紹介～ | 釣！浜名湖,/blog/7-month,google / organic,1,1,1,169,0,1,1,1,169,0
網干場（舞阪港）～表浜名湖の釣りポイント紹介～ | 釣！浜名湖,/blog/8-month,yahoo / organic,1,1,1,0,0,1,1,1,0,0
網干場（舞阪港）～表浜名湖の釣りポイント紹介～ | 釣！浜名湖,/points/amihosiba,(direct) / (none),4,1,0,0,0,4,1,0,0,0
網干場（舞阪港）～表浜名湖の釣りポイント紹介～ | 釣！浜名湖,/points/amihosiba,bing / organic,1,1,0,0,0,1,1,0,0,0
網干場（舞阪港）～表浜名湖の釣りポイント紹介～ | 釣！浜名湖,/points/amihosiba,google / organic,1,1,0,0,0,1,1,0,0,0
舘山寺（内浦湾）｜観光と釣りの黄金比！ファミリー＆ナイトゲームの聖地 | 釣！浜名湖,/blog/hamanako-kayak-fishing,google / organic,1,1,1,0,0,1,1,1,0,0
舘山寺（内浦湾）｜観光と釣りの黄金比！ファミリー＆ナイトゲームの聖地 | 釣！浜名湖,/blog/night-chining,google / organic,1,1,1,9,0,1,1,1,9,0
舘山寺（内浦湾）｜観光と釣りの黄金比！ファミリー＆ナイトゲームの聖地 | 釣！浜名湖,/map,(direct) / (none),1,1,1,14,0,1,1,1,14,0
舘山寺（内浦湾）｜観光と釣りの黄金比！ファミリー＆ナイトゲームの聖地 | 釣！浜名湖,/points/drive-fishing-spots,google / organic,1,1,1,0,0,1,1,1,0,0
花川河口（庄内湖）の釣りポイント解説｜生命のゆりかご・ハゼ釣りの穴場 | 釣！浜名湖,/points/drive-fishing-spots,openai / (not set),1,1,1,0,0,1,1,1,0,0
観月園（かんげつえん）付近～表浜名湖の攻略が難しい穴場スポット～ | 釣！浜名湖,/points/kangetsuen,bing / organic,1,1,0,0,0,1,1,0,0,0
観月園（かんげつえん）付近～表浜名湖の攻略が難しい穴場スポット～ | 釣！浜名湖,/points/kangetsuen,google / organic,1,1,0,0,0,1,1,0,0,0
車でいきたくなる！浜名湖の釣りスポット12選【エリア別まとめ】 | 釣！浜名湖,/points/amihosiba,yahoo / organic,1,1,1,0,0,1,1,1,0,0
都田川河口（みやこだがわ）｜浜名湖NO.1のハゼ釣りの聖地！汽水域の王者・ハゼとシーバスを完全攻略 | 釣！浜名湖,/blog/7-month,google / organic,1,1,1,0,0,1,1,1,0,0
都田川河口（みやこだがわ）｜浜名湖NO.1のハゼ釣りの聖地！汽水域の王者・ハゼとシーバスを完全攻略 | 釣！浜名湖,/blog/okuhamanako-haze-fishing,yahoo / organic,1,1,1,0,0,1,1,1,0,0
釣り場ポイント | 釣！浜名湖,/map,(direct) / (none),1,1,1,0,0,1,1,1,0,0
釣り場ポイント | 釣！浜名湖,/points,google / organic,1,1,1,0,0,1,1,1,0,0
釣り場ポイント | 釣！浜名湖,/points/tako-fukabori,yahoo / organic,1,1,1,0,0,1,1,1,0,0
釣り場ポイント | 釣！浜名湖,/points/tsuzusaki,google / organic,1,1,1,0,0,1,1,1,0,0
釣れた小アジで作る！絶品「小アジの唐揚げ」レシピ【初心者でも簡単】 | 釣！浜名湖,/blog/cooking/beginner/koaji-karaage-recipe,bing / organic,1,1,0,0,0,1,1,0,0,0
釣れる魚・ターゲット解説 | 釣！浜名湖,/blog/hamanako-kayak-fishing,google / organic,1,1,1,0,0,1,1,1,0,0
釣れる魚・ターゲット解説 | 釣！浜名湖,/points/haze-fukabori,yahoo / organic,1,1,1,0,0,1,1,1,0,0
雄踏町山崎（ゆうとうちょうやまざき）｜車横付けOK！中浜名湖が誇る「機動力抜群」の投げ釣り聖地 | 釣！浜名湖,/points/drive-fishing-spots,google / organic,1,1,1,10,0,1,1,1,10,0
雄踏町山崎（ゆうとうちょうやまざき）｜車横付けOK！中浜名湖が誇る「機動力抜群」の投げ釣り聖地 | 釣！浜名湖,/points/family-car-points,google / organic,1,1,1,0,0,1,1,1,0,0
雄踏町山崎（ゆうとうちょうやまざき）｜雄踏総合公園エリアで車横付けOK！中浜名湖の投げ釣り聖地 | 釣！浜名湖,/points/drive-fishing-spots,openai / (not set),1,1,1,0,0,1,1,1,0,0
雄踏町山崎（ゆうとうちょうやまざき）｜雄踏総合公園エリアで車横付けOK！中浜名湖の投げ釣り聖地 | 釣！浜名湖,/points/family-car-points,google / organic,1,1,1,0,0,1,1,1,0,0
雨でも釣れる！梅雨の浜名湖釣り場ガイド｜雷・増水リスクを避けて安全に楽しむ | 釣！浜名湖,/blog/guide/beginner/hamanako-rainy-day-fishing,google / organic,1,1,1,89,0,1,1,1,89,0
雨でも釣れる！梅雨の浜名湖釣り場ガイド｜雷・増水リスクを避けて安全に楽しむ | 釣！浜名湖,/blog/guide/beginner/hamanako-rainy-day-fishing,yahoo / organic,1,1,0,0,0,1,1,0,0,0
鷲津港・鷲津湾（わしづこう・わしづわん）｜ボートアングラーの聖地・テクニカルな中浜名湖の難攻不落ポイント | 釣！浜名湖,/blog/hamanako-kayak-fishing,google / organic,1,1,1,0,0,1,1,1,0,0
【カワハギ実績ポイント】浜名湖・今切口と澪筋。エサ取り名人が集まる好スポット | 釣！浜名湖,/blog/kawahagi-points,copilot.com / ai-assistant,1,0,0,0,0,1,0,0,0,0
【キス実績ポイント】浜名湖から遠州灘まで。白砂の女王が群れる場所 | 釣！浜名湖,/blog/kisu-points,(direct) / (none),1,0,0,0,0,1,0,0,0,0
【メジナ実績ポイント】浜名湖・今切口とテトラ帯。良型が潜む難所を攻める | 釣！浜名湖,/blog/mejina-points,yahoo / organic,1,0,0,0,0,1,0,0,0,0
【浜名湖チヌトップ】夏を制する！ポッパー・ペンシル厳選5選と攻略術 | 釣！浜名湖,/blog/chinutop-lures,google / organic,1,0,0,0,0,1,0,0,0,0
【浜名湖攻略】ベイトフィッシュ追跡理論｜フィッシュイーターが季節ベイトを追う法則 | 釣！浜名湖,/blog/guide/theory/baitfish-tracking,google / organic,1,0,0,0,0,1,0,0,0,0
【舞阪港・網干場】釣りポイント完全攻略｜乗っ込みクロダイ・夏タコ・夜シーバスの釣り方 | 釣！浜名湖,/points/amihosiba,service.smt.docomo.ne.jp / referral,1,0,0,0,0,1,0,0,0,0
佐久米海岸の釣りポイント完全解説｜ユリカモメ舞う駅前で「東名橋脚の巨大魚」を狙う | 釣！浜名湖,/points/sakumekaigan,bing / organic,1,0,0,0,0,1,0,0,0,0
弁天島海浜公園（表浜名湖）の釣りポイント完全解説｜世界一映える「赤鳥居」とリゾート・フィッシング | 釣！浜名湖,/points/bentenjimakaihinkouen,google / organic,1,0,0,0,0,1,0,0,0,0
浜名湖のキス釣りポイント5選！初心者からベテランまで数釣りが楽しめる時期とコツ | 釣！浜名湖,/blog/points-top5,bing / organic,2,0,0,0,0,2,0,0,0,0
浜名湖アジ・サバ・サッパ攻略！サビキ釣りで楽しむ回遊魚特集 | 釣！浜名湖,/blog/aji-saba-sappa,bing / organic,1,0,0,0,0,1,0,0,0,0
浜名湖クロダイ攻略完全ガイド！釣れる時期・ポイント・釣り方を徹底解説 | 釣！浜名湖,/blog/kurodai,yahoo / organic,1,0,0,0,0,1,0,0,0,0
浜名湖ハゼ釣りポイント厳選！聖地から穴場まで徹底解説 | 釣！浜名湖,/blog/haze-points,bing / organic,1,0,0,0,0,1,0,0,0,0
渚園（表浜名湖）の釣りポイント完全解説｜キャンプと「チヌトップ」の聖地を遊び尽くす | 釣！浜名湖,/points/nagisaen,google / organic,1,0,0,0,0,1,0,0,0,0
砂揚げ場（新居漁港）～車横付けOK！浜名湖No.1のファミリーポイント～ | 釣！浜名湖,/points/sunaageba,bing / organic,1,0,0,0,0,1,0,0,0,0
舘山寺（内浦湾）｜観光と釣りの黄金比！ファミリー＆ナイトゲームの聖地 | 釣！浜名湖,/points/kanzanji,google / organic,1,0,0,0,0,1,0,0,0,0

